,URL,Image,Name,Number of Courses,University,Category,Sub_Category,Course_Language
10,https://www.coursera.org/specializations/managerial-economics-business-analysis,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/33/6c2b209e9911e58037d32895695437/Business-environments_Arrow.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/33/6c2b209e9911e58037d32895695437/Business-environments_Arrow.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Managerial Economics and Business Analysis ,7-course Specialization,University of Illinois at Urbana-Champaign,business,finance,en
11,https://www.coursera.org/specializations/startup-valuation,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/0a/9c3a40636b11e6af38f98accbaf35b/finance_thumb_n.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/0a/9c3a40636b11e6af38f98accbaf35b/finance_thumb_n.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Valuation and Financial Analysis For Startups,5-course Specialization,Yonsei University,business,finance,en
12,https://www.coursera.org/specializations/finance-for-everyone,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/71/596b30a42c11e59d1881493ff88c96/thumbnail.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/71/596b30a42c11e59d1881493ff88c96/thumbnail.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Finance for Everyone,5-course Specialization,McMaster University,business,finance,en
13,https://www.coursera.org/specializations/valuation-investment,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/7d/5fc6b0a35311e5ac4985526db1f4ca/valutation_specialization.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/7d/5fc6b0a35311e5ac4985526db1f4ca/valutation_specialization.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Introduction to Finance: Valuation and Investing ,4-course Specialization,University of Michigan,business,finance,en
14,https://www.coursera.org/learn/financial-markets-global,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/51/51d7604aba11e7ae3525d9720463e7/Shiller_FinancialMarkets_New.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/51/51d7604aba11e7ae3525d9720463e7/Shiller_FinancialMarkets_New.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Financial Markets,,Yale University,business,finance,en
15,https://www.coursera.org/learn/financial-engineering-1,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://spark-public.s3.amazonaws.com/flex-fe1/stocksii.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://spark-public.s3.amazonaws.com/flex-fe1/stocksii.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Financial Engineering and Risk Management Part I,,Columbia University,business,finance,en
16,https://www.coursera.org/learn/computational-investing,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/0c/3b157034c111e685258795a4c1195d/ComputationalInvestingPart1.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/0c/3b157034c111e685258795a4c1195d/ComputationalInvestingPart1.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x","Computational Investing, Part I",,Georgia Institute of Technology,business,finance,en
17,https://www.coursera.org/learn/wharton-entrepreneurship-opportunity,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/65/9d3e30af7011e5bf339d4672ca10ca/coursera_entrepreneurship_opportunity_8x8.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/65/9d3e30af7011e5bf339d4672ca10ca/coursera_entrepreneurship_opportunity_8x8.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Entrepreneurship 1: Developing the Opportunity,,University of Pennsylvania,business,finance,en
18,https://www.coursera.org/learn/wharton-finance,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/4f/d297b0e99111e6a3f04f721ab5825e/Finance_Coursera_Course_Thumb.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/4f/d297b0e99111e6a3f04f721ab5825e/Finance_Coursera_Course_Thumb.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Introduction to Corporate Finance,,University of Pennsylvania,business,finance,en
19,https://www.coursera.org/learn/family-planning,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/39/9e2860d1aa11e59c46a9975efe46c2/pffp_header.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/39/9e2860d1aa11e59c46a9975efe46c2/pffp_header.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Personal & Family Financial Planning,,University of Florida,business,finance,en
